case,policy,metric,mean,lower,upper,portfolio_sd,training_seed_sd
pd_over,Static,loss,2442.274385453608,2238.0155047714366,2648.1061825476245,325.0895151226942,0.0
pd_over,Static,default_rate,0.6458333333333333,0.5833333333333334,0.71875,0.10681165741027596,0.0
pd_over,Static,el_violation_rate,0.6614583333333334,0.5885416666666667,0.7395833333333333,0.11876827344782688,0.0
pd_over,Static,true_violation_rate,0.19791666666666663,0.1614583333333333,0.22916666666666663,0.05786375623578448,0.0
pd_slope,BufferedRiskBased,value,-612.7582079666336,-799.395029311471,-409.4916802887398,344.9460318739074,0.0
pd_slope,BufferedRiskBased,loss,1411.1142120696138,1246.9607963939347,1560.222153830672,273.38310818738006,0.0
pd_slope,BufferedRiskBased,default_rate,0.59375,0.5208333333333334,0.65625,0.11301689015504478,0.0
pd_slope,BufferedRiskBased,el_violation_rate,0.18229166666666663,0.1510416666666666,0.21354166666666663,0.049488955798559206,0.0
pd_slope,BufferedRiskBased,true_violation_rate,0.09374999999999997,0.059765624999999975,0.13541666666666663,0.05786375623578446,0.0
pd_slope,Decrease20,value,-796.5915465311973,-1003.1287719161971,-616.5231007353024,319.63485757479305,0.0
pd_slope,Decrease20,loss,1138.5464468706296,974.780925863006,1347.6632892920595,304.7900409398794,0.0
pd_slope,Decrease20,default_rate,0.6979166666666666,0.6666666666666666,0.7291666666666667,0.06200198409523708,0.0
pd_slope,Decrease20,el_violation_rate,0.08854166666666663,0.04687499999999997,0.1302083333333333,0.06842002340817052,0.0
pd_slope,Decrease20,true_violation_rate,0.08333333333333329,0.057291666666666616,0.11210937499999984,0.044543540318737404,0.0
pd_slope,Greedy,value,-870.7952633173337,-971.5613486598659,-772.2454969045491,169.88894618605218,0.0
pd_slope,Greedy,loss,1780.645525696964,1645.6672007614309,1914.7047577549472,212.6510783498524,0.0
pd_slope,Greedy,default_rate,0.5520833333333334,0.49453125000000003,0.6145833333333333,0.08838834764831842,0.0
pd_slope,Greedy,el_violation_rate,0.33854166666666663,0.25,0.43229166666666663,0.13444016046565754,0.0
pd_slope,Greedy,true_violation_rate,0.14062499999999994,0.10416666666666663,0.17187499999999994,0.054269590859554954,0.0
pd_slope,Myopic,value,-769.1166972366664,-917.6515440273877,-631.8766697223002,230.52340937244352,0.0
pd_slope,Myopic,loss,1761.0956339935276,1658.0032767628654,1867.4674526567742,164.4556285956629,0.0
pd_slope,Myopic,default_rate,0.5520833333333333,0.4791666666666667,0.625,0.11732382943111323,0.0
pd_slope,Myopic,el_violation_rate,0.3541666666666667,0.296875,0.4010416666666667,0.0862581949177943,0.0
pd_slope,Myopic,true_violation_rate,0.16666666666666663,0.10937499999999997,0.23437499999999994,0.09449111825230681,0.0
pd_slope,PPO_hard,value,-711.1007958747346,-929.0579634558751,-509.07830119641454,309.8253308729835,124.13970142476968
pd_slope,PPO_hard,loss,1216.2411194062622,1033.367976851604,1413.3290224629854,292.19482759566426,90.56341697527229
pd_slope,PPO_hard,default_rate,0.6423611111111112,0.576388888888889,0.6979166666666666,0.06874649261535876,0.049227246106797996
pd_slope,PPO_hard,el_violation_rate,0.11979166666666663,0.06679687499999996,0.17278645833333325,0.07118358007511566,0.03125
pd_slope,PPO_hard,true_violation_rate,0.08680555555555551,0.05290798611111107,0.12673611111111108,0.05833805725392521,0.006014065304058592
pd_slope,PPO_penalty,value,-796.5915465311973,-1000.0072528048362,-628.6704778860282,319.63485757479305,0.0
pd_slope,PPO_penalty,loss,1138.5464468706296,979.5153857423006,1339.2553354440965,304.7900409398794,0.0
pd_slope,PPO_penalty,default_rate,0.6979166666666666,0.65625,0.7291666666666666,0.06200198409523708,0.0
pd_slope,PPO_penalty,el_violation_rate,0.08854166666666663,0.04687499999999997,0.1302083333333333,0.06842002340817052,0.0
pd_slope,PPO_penalty,true_violation_rate,0.08333333333333329,0.05729166666666661,0.10937499999999996,0.044543540318737404,0.0
pd_slope,PPO_unconstrained,value,-796.5915465311973,-1000.0072528048362,-628.6704778860282,319.63485757479305,0.0
pd_slope,PPO_unconstrained,loss,1138.5464468706296,979.5153857423006,1339.2553354440965,304.7900409398794,0.0
pd_slope,PPO_unconstrained,default_rate,0.6979166666666666,0.65625,0.7291666666666666,0.06200198409523708,0.0
pd_slope,PPO_unconstrained,el_violation_rate,0.08854166666666663,0.04687499999999997,0.1302083333333333,0.06842002340817052,0.0
pd_slope,PPO_unconstrained,true_violation_rate,0.08333333333333329,0.05729166666666661,0.10937499999999996,0.044543540318737404,0.0
pd_slope,RiskBased,value,-612.7582079666336,-799.395029311471,-409.4916802887398,344.9460318739074,0.0
pd_slope,RiskBased,loss,1411.1142120696138,1246.9607963939347,1560.222153830672,273.38310818738006,0.0
pd_slope,RiskBased,default_rate,0.59375,0.5208333333333334,0.65625,0.11301689015504478,0.0
pd_slope,RiskBased,el_violation_rate,0.18229166666666663,0.1510416666666666,0.21354166666666663,0.049488955798559206,0.0
pd_slope,RiskBased,true_violation_rate,0.09374999999999997,0.059765624999999975,0.13541666666666663,0.05786375623578446,0.0
pd_slope,Static,value,-1488.2326491483477,-1732.694541667311,-1262.7901396922134,375.1337988373068,0.0
pd_slope,Static,loss,2442.274385453608,2238.0155047714366,2648.1061825476245,325.0895151226942,0.0
pd_slope,Static,default_rate,0.6458333333333333,0.5833333333333334,0.71875,0.10681165741027596,0.0
pd_slope,Static,el_violation_rate,0.375,0.3045572916666667,0.45065104166666653,0.12598815766974242,0.0
pd_slope,Static,true_violation_rate,0.19791666666666663,0.1614583333333333,0.22916666666666663,0.05786375623578448,0.0
pd_under,BufferedRiskBased,value,-858.3803224802784,-1047.7758585306808,-679.8599013877468,330.52751545324725,0.0
