world_id,policy,parameter,endpoint,parameter_value,value,delta_static,delta_myopic
oat_dynamics_missed_delinquency_low,SIMULATOR_ONLY_ORACLE_Myopic,dynamics.missed_delinquency,low,0.35,-1607.1041328186568,218.45127778752635,23.57198025032767
oat_dynamics_missed_delinquency_low,Static,dynamics.missed_delinquency,low,0.35,-1825.5554106061832,0.0,-194.87929753719868
oat_dynamics_missed_delinquency_low,UtilizationPD,dynamics.missed_delinquency,low,0.35,-1052.387493497268,773.1679171089152,578.2886195717165
oat_dynamics_payment_income_cap_high,AlwaysDecrease,dynamics.payment_income_cap,high,0.6,-852.7041835979933,994.4787987438237,752.0890099767446
oat_dynamics_payment_income_cap_high,AlwaysDecrease20,dynamics.payment_income_cap,high,0.6,-791.622470583326,1055.560511758491,813.1707229914118
oat_dynamics_payment_income_cap_high,AlwaysIncrease,dynamics.payment_income_cap,high,0.6,-1955.895327143052,-108.71234480123508,-351.10213356831423
oat_dynamics_payment_income_cap_high,MyopicEconomic,dynamics.payment_income_cap,high,0.6,-1604.7931935747379,242.38978876707915,0.0
oat_dynamics_payment_income_cap_high,PDThreshold,dynamics.payment_income_cap,high,0.6,-1085.3041109437181,761.8788713980989,519.4890826310198
oat_dynamics_payment_income_cap_high,PPO,dynamics.payment_income_cap,high,0.6,-791.622470583326,1055.560511758491,813.1707229914118
oat_dynamics_payment_income_cap_high,PPO_without_PD,dynamics.payment_income_cap,high,0.6,-791.622470583326,1055.560511758491,813.1707229914118
oat_dynamics_payment_income_cap_high,Random,dynamics.payment_income_cap,high,0.6,-1548.3288709005133,298.85411144130376,56.464322674224604
oat_dynamics_payment_income_cap_high,SIMULATOR_ONLY_ORACLE_Myopic,dynamics.payment_income_cap,high,0.6,-1532.3832076637584,314.7997746780586,72.40998591097946
oat_dynamics_payment_income_cap_high,Static,dynamics.payment_income_cap,high,0.6,-1847.182982341817,0.0,-242.38978876707915
oat_dynamics_payment_income_cap_high,UtilizationPD,dynamics.payment_income_cap,high,0.6,-1089.876181720233,757.306800621584,514.9170118545048
oat_dynamics_payment_income_cap_low,AlwaysDecrease,dynamics.payment_income_cap,low,0.4,-950.9130158128269,982.3393873012399,740.6551443635487
